TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7
1587.6516,-367708.49,-360953.14,-381930.44,-378856.08,-373666.71,-372638.08,-385748.15
1587.6556,-369678.02,-365974.28,-382141.02,-379742.0,-376070.93,-373385.24,-376957.22
1587.6596,-373198.32,-376695.96,-373954.25,-377515.79,-373133.56,-371538.54,-358735.32
1587.6636,-373500.34,-378633.16,-368351.65,-375140.47,-368798.63,-369574.54,-355364.79
1587.6676,-369473.6,-367451.9,-373734.33,-376056.43,-369051.69,-370366.0,-375185.01
1587.6716,-367760.13,-361002.49,-381866.12,-378888.08,-373652.84,-372602.94,-385773.66
1587.6756,-369844.81,-365926.83,-382153.41,-379791.26,-376087.19,-373260.26,-377077.91
1587.6796,-373428.39,-376618.91,-373975.61,-377548.79,-373157.93,-371358.72,-358832.12
1587.6836,-373772.9,-378676.41,-368310.88,-375145.67,-368809.36,-369395.97,-355247.16
1587.6876,-369677.44,-367527.39,-373651.41,-376020.05,-369019.55,-370221.8,-374985.79
1587.6916,-367824.17,-360993.29,-381849.33,-378860.71,-373619.31,-372563.6,-385760.11
1587.6955,-369771.29,-365866.37,-382231.81,-379786.82,-376086.9,-373342.22,-377189.54
1587.6995,-373272.42,-376573.37,-374130.91,-377575.39,-373213.14,-371545.22,-359001.25
1587.7035,-373592.85,-378752.13,-368366.71,-375139.38,-368840.69,-369594.24,-355170.96
1587.7075,-369504.83,-367650.31,-373605.92,-375984.38,-369009.06,-370390.89,-374828.48
1587.7115,-367669.05,-361003.54,-381807.9,-378817.94,-373582.12,-372663.16,-385774.61
1587.7155,-369714.92,-365799.9,-382261.37,-379795.26,-376086.23,-373371.98,-377328.97
1587.7195,-373323.06,-376493.59,-374178.41,-377608.3,-373239.99,-371486.04,-359144.21
1587.7235,-373806.71,-378830.34,-368350.5,-375183.72,-368859.43,-369461.53,-355072.35
1587.7275,-369750.5,-367749.31,-373528.14,-375982.0,-368963.33,-370191.09,-374642.04
1587.7315,-367812.68,-360969.59,-381754.87,-378791.85,-373515.36,-372478.39,-385759.73
1587.7355,-369733.66,-365679.83,-382273.1,-379784.34,-376068.88,-373274.32,-377430.72
1587.7395,-373257.87,-376373.72,-374236.82,-377624.22,-373282.19,-371490.95,-359286.83
1587.7435,-373716.73,-378835.58,-368325.33,-375179.1,-368878.55,-369501.44,-354979.08
1587.7475,-369662.14,-367837.9,-373445.41,-375987.29,-368951.46,-370266.91,-374491.31
1587.7515,-367716.79,-361006.26,-381734.99,-378831.86,-373503.11,-372584.2,-385791.44
1587.7555,-369652.94,-365651.94,-382355.21,-379852.67,-376092.05,-373383.95,-377569.58
1587.7594,-373196.69,-376313.83,-374364.18,-377677.39,-373321.63,-371563.86,-359435.65
1587.7634,-373757.93,-378918.31,-368374.82,-375207.9,-368895.29,-369520.28,-354888.77
1587.7674,-369728.13,-367947.72,-373373.79,-375959.77,-368892.24,-370201.11,-374285.22
1587.7714,-367729.66,-360969.97,-381658.46,-378789.04,-373425.0,-372482.34,-385780.19
1587.7754,-369647.59,-365539.55,-382340.57,-379844.62,-376068.78,-373302.46,-377692.94
1587.7794,-373203.89,-376212.12,-374379.06,-377698.94,-373344.61,-371511.6,-359578.7
1587.7834,-373797.8,-378940.2,-368299.62,-375209.19,-368895.29,-369459.91,-354785.25
1587.7874,-369800.61,-368072.32,-373248.62,-375948.19,-368874.93,-370163.34,-374074.98
1587.7914,-367756.89,-361001.39,-381601.71,-378777.64,-373405.07,-372486.54,-385819.43
1587.7954,-369635.15,-365499.02,-382387.68,-379843.47,-376071.97,-373346.71,-377843.85
1587.7994,-373147.48,-376145.22,-374489.16,-377709.39,-373382.09,-371590.75,-359760.18
1587.8034,-373766.09,-379004.95,-368340.54,-375208.52,-368931.43,-369545.07,-354747.05
1587.8074,-369779.92,-368202.87,-373193.74,-375908.28,-368860.57,-370208.4,-373884.34
1587.8114,-367711.73,-361030.76,-381565.57,-378741.02,-373371.69,-372519.06,-385832.16
1587.8154,-369583.46,-365429.78,-382409.48,-379823.54,-376062.39,-373363.49,-377976.46
1587.8194,-373133.99,-376065.73,-374542.52,-377711.01,-373410.84,-371595.76,-359908.24
1587.8233,-373833.46,-379045.29,-368323.37,-375198.12,-368942.64,-369512.84,-354665.75
1587.8273,-369900.56,-368304.11,-373133.42,-375881.14,-368832.25,-370156.19,-373726.03
1587.8313,-367772.81,-361015.08,-381521.79,-378691.38,-373308.04,-372452.4,-385830.5
1587.8353,-369574.21,-365305.94,-382447.81,-379778.76,-376027.68,-373315.81,-378072.45
1587.8393,-373071.24,-375918.24,-374621.48,-377692.17,-373435.21,-371598.67,-360054.39
1587.8433,-373797.27,-379048.11,-368326.42,-375178.19,-368962.38,-369533.92,-354581.11
1587.8473,-369831.27,-368338.06,-373034.71,-375819.16,-368787.0,-370158.19,-373562.57
1587.8513,-367685.7,-360983.46,-381474.83,-378640.08,-373262.97,-372467.71,-385817.72
1587.8553,-369490.76,-365236.52,-382484.82,-379784.96,-376041.08,-373374.51,-378192.61
1587.8593,-373004.15,-375855.44,-374727.34,-377718.21,-373481.13,-371674.34,-360205.69
1587.8633,-373762.75,-379099.75,-368354.79,-375167.89,-368970.58,-369581.27,-354515.5
1587.8673,-369833.85,-368456.69,-372993.37,-375795.55,-368767.88,-370188.09,-373414.56
1587.8713,-367668.48,-361012.6,-381431.34,-378623.63,-373235.94,-372483.58,-385820.91
1587.8753,-369510.55,-365205.24,-382525.06,-379806.8,-376061.77,-373391.72,-378295.8
1587.8793,-373050.97,-375760.31,-374781.03,-377741.62,-373519.47,-371655.46,-360334.77
1587.8833,-373909.14,-379113.05,-368323.85,-375187.25,-369002.48,-369516.13,-354401.73
1587.8872,-370021.48,-368530.41,-372884.13,-375779.72,-368745.99,-370063.54,-373174.04
1587.8912,-367835.76,-361007.92,-381391.43,-378615.38,-373203.37,-372365.85,-385774.13
1587.8952,-369591.9,-365110.77,-382570.69,-379814.53,-376047.23,-373314.43,-378400.75
1587.8992,-373026.94,-375644.3,-374915.93,-377758.98,-373533.77,-371647.45,-360482.74
1587.9032,-373784.63,-379111.19,-368392.85,-375180.24,-369002.91,-369563.0,-354329.15
1587.9072,-369819.97,-368593.21,-372860.57,-375754.54,-368728.01,-370173.93,-372995.28
1587.9112,-367515.7,-360897.06,-381331.73,-378559.01,-373160.07,-372501.85,-385795.78
1587.9152,-369273.47,-364878.55,-382551.1,-379769.13,-376051.18,-373462.2,-378551.15
1587.9192,-372821.04,-375424.62,-374905.15,-377749.63,-373589.89,-371757.6,-360672.52
1587.9232,-373830.65,-379087.83,-368314.83,-375187.06,-369051.55,-369573.83,-354282.76
1587.9272,-370047.18,-368662.31,-372698.4,-375724.31,-368703.41,-370035.5,-372810.84
1587.9312,-367822.64,-360927.91,-381228.4,-378552.43,-373114.25,-372286.13,-385809.32
1587.9352,-369586.13,-364872.36,-382577.94,-379808.28,-376041.79,-373237.18,-378691.58
1587.9392,-373069.9,-375423.05,-375018.64,-377822.87,-373638.25,-371609.26,-360851.66
1587.9432,-373957.15,-379191.11,-368373.01,-375231.12,-369075.39,-369508.88,-354245.66
